model_i,model_j,dm_stat,p_raw,p_holm
chronos-bolt-L720+res-h,moirai-L336+res-nh,-7.242198767699729,4.4142467459096224e-13,7.460077000587262e-11
chronos-bolt-L720+res-h,moirai-L336+res-h,-6.375288740561027,1.8261858691914767e-10,2.8671118146306185e-08
chronos-bolt-L720+res-h,timesfm-L168+res-nh,-3.6227640988417225,0.00029147162118303704,0.028272747254754593
chronos-bolt-L720+res-h,timesfm-L168+res-h,-2.755103325004866,0.005867360311066827,0.4129199842378264
chronos-bolt-L720+res-h,time-moe-L720+res-nh,-1.2085660289987323,0.22682961413701963,1.0
chronos-bolt-L720+res-h,time-moe-L720+res-h,-1.3781477832410651,0.1681576651672172,1.0
moirai-L336+res-nh,moirai-L336+res-h,5.193832857474118,2.0600810768378608e-07,2.6163029675840832e-05
moirai-L336+res-nh,timesfm-L168+res-nh,1.9299619993670085,0.05361154638947774,1.0
moirai-L336+res-nh,timesfm-L168+res-h,2.6300361846726603,0.008537578039155669,0.5805553066625855
moirai-L336+res-nh,time-moe-L720+res-nh,5.214769208507392,1.8404623536305564e-07,2.3557918126471122e-05
moirai-L336+res-nh,time-moe-L720+res-h,5.098161061761562,3.42968953237488e-07,4.252815020144851e-05
moirai-L336+res-h,timesfm-L168+res-nh,1.3672375251457471,0.17155086686068044,1.0
moirai-L336+res-h,timesfm-L168+res-h,2.14518646756085,0.031937941144105864,1.0
moirai-L336+res-h,time-moe-L720+res-nh,4.331689468001579,1.4796953731854856e-05,0.0016276649105040342
moirai-L336+res-h,time-moe-L720+res-h,4.220357471807192,2.4391523078870492e-05,0.002585501446360272
timesfm-L168+res-nh,timesfm-L168+res-h,8.053268467095922,8.881784197001252e-16,1.545430450278218e-13
timesfm-L168+res-nh,time-moe-L720+res-nh,2.372032670206158,0.017690526410003127,1.0
timesfm-L168+res-nh,time-moe-L720+res-h,2.272804023792912,0.02303799246139282,1.0
timesfm-L168+res-h,time-moe-L720+res-nh,1.6412946629629885,0.10073626343928144,1.0
timesfm-L168+res-h,time-moe-L720+res-h,1.5440905823055742,0.12256639002869352,1.0
time-moe-L720+res-nh,time-moe-L720+res-h,-1.9956386721465786,0.04597326693459691,1.0
