model,hour,regime,mae,n
timesfm-2.5-L168,17,Ramadan,982.765929555085,59
timesfm-2.5-L168,18,Ramadan,966.0799179025418,59
timesfm-2.5-L168,19,Ramadan,909.8574311440676,59
timesfm-2.5-L168,20,Ramadan,821.6241710805087,59
timesfm-2.5-L168,21,Ramadan,671.2244729872881,59
timesfm-2.5-L168,22,Ramadan,742.7186957097462,59
timesfm-2.5-L168,23,Ramadan,818.6766300317802,59
moirai-1.1-small-L336,0,aggregate,989.6302270079495,456
moirai-1.1-small-L336,1,aggregate,976.1685942639804,456
moirai-1.1-small-L336,2,aggregate,968.6958204838268,456
moirai-1.1-small-L336,3,aggregate,1197.1271780770285,456
moirai-1.1-small-L336,4,aggregate,1587.8178484786183,456
moirai-1.1-small-L336,5,aggregate,2886.695658408717,456
moirai-1.1-small-L336,6,aggregate,2966.408240988213,456
moirai-1.1-small-L336,7,aggregate,2691.084897546601,456
moirai-1.1-small-L336,8,aggregate,2744.8418912760417,456
moirai-1.1-small-L336,9,aggregate,2379.409092139528,456
moirai-1.1-small-L336,10,aggregate,2122.6896163993965,456
moirai-1.1-small-L336,11,aggregate,2107.443555030153,456
moirai-1.1-small-L336,12,aggregate,2043.1241152686407,456
moirai-1.1-small-L336,13,aggregate,1952.2658477247808,456
moirai-1.1-small-L336,14,aggregate,1983.5994130345396,456
moirai-1.1-small-L336,15,aggregate,1747.5445987527412,456
moirai-1.1-small-L336,16,aggregate,1443.6829999314689,456
moirai-1.1-small-L336,17,aggregate,1371.653118832237,456
moirai-1.1-small-L336,18,aggregate,1477.9077604166666,456
moirai-1.1-small-L336,19,aggregate,1465.4043040707234,456
moirai-1.1-small-L336,20,aggregate,1306.0208290501644,456
moirai-1.1-small-L336,21,aggregate,1033.9957843338816,456
moirai-1.1-small-L336,22,aggregate,967.6847669956139,456
moirai-1.1-small-L336,23,aggregate,1040.4169741981907,456
moirai-1.1-small-L336,0,Heatwave,1344.265853271484,64
moirai-1.1-small-L336,1,Heatwave,1450.9890478515626,64
moirai-1.1-small-L336,2,Heatwave,1126.1162573242184,64
moirai-1.1-small-L336,3,Heatwave,1363.6702246093753,64
moirai-1.1-small-L336,4,Heatwave,1630.2190832519534,64
moirai-1.1-small-L336,5,Heatwave,3371.4489221191407,64
moirai-1.1-small-L336,6,Heatwave,3118.314619140626,64
moirai-1.1-small-L336,7,Heatwave,3007.9580371093753,64
moirai-1.1-small-L336,8,Heatwave,3570.5269458007815,64
moirai-1.1-small-L336,9,Heatwave,2877.4594458007814,64
moirai-1.1-small-L336,10,Heatwave,2448.3185205078125,64
moirai-1.1-small-L336,11,Heatwave,2839.1693481445313,64
moirai-1.1-small-L336,12,Heatwave,2602.0625659179686,64
moirai-1.1-small-L336,13,Heatwave,2346.950234375,64
moirai-1.1-small-L336,14,Heatwave,2247.0640917968753,64
moirai-1.1-small-L336,15,Heatwave,2077.2265771484376,64
moirai-1.1-small-L336,16,Heatwave,1952.0285375976557,64
moirai-1.1-small-L336,17,Heatwave,2096.637326660156,64
moirai-1.1-small-L336,18,Heatwave,2166.9899145507816,64
moirai-1.1-small-L336,19,Heatwave,2293.931010742188,64
moirai-1.1-small-L336,20,Heatwave,1993.9091625976562,64
moirai-1.1-small-L336,21,Heatwave,1670.9266699218751,64
moirai-1.1-small-L336,22,Heatwave,1402.6143359374998,64
moirai-1.1-small-L336,23,Heatwave,1354.1462512207027,64
moirai-1.1-small-L336,0,Normal,927.2129713307056,333
moirai-1.1-small-L336,1,Normal,879.7295354729731,333
moirai-1.1-small-L336,2,Normal,917.4269284909909,333
moirai-1.1-small-L336,3,Normal,1154.7167365803302,333
